# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###############
#IDLE
11121	197	48	210	74	0
11111	197	78	210	104	0

#WALKING RIGHT
11222	214	48	229	74	0
11223	233	49	248	74	0

#WALKING LEFT
11212	214	78	229	104	0
11213	233	79	248	104	0

#RUNNING RIGHT
11321	290	48	308	74	0
11322	312	48	330	74	0
11323	335	49	353	74	0

#RUNNING LEFT
11311	290	78	308	104	0
11312	312	78	330	104	0
11313	335	79	353	104	0

#JUMP WALK RIGHT
11417	271	49	286	74	0

#JUMP WALK LEFT
11413	271	79	286	104	0

#JUMP RUN RIGHT & LEFT
11427	357	49	375	74	0
11423	357	79	375	104	0

#SIT RIGHT & LEFT 
11521	379	57	392	74	0
11511	379	87	392	104	0

#BRACE RIGHT & LEFT 
11621	252	47	267	74	0
11611	252	77	267	104	0

#DIE
13001	416	8	431	23	0

############ SMALL ################
 #IDLE
12121	254	9	265	23	0
12111	254	29	265	43	0

#WALK RIGHT
12222	341	8	356	23	0
12223	269	8	283	23	0

#WALK LEFT
12212	341	28	356	43	0
12213	269	28	283	43	0

#RUN RIGHT
12321	341	8	356	23	0
12322	269	8	283	23	0
12323	323	8	338	23	0

#RUN LEFT
12311	341	28	356	43	0
12312	269	28	283	43	0
12313	323	28	338	43	0

#BRACE RIGHT & LEFT
12511	287	8	300	23	0
12521	287	28	300	43	0

#JUMP WALK RIGHT & LEFT 
12413	304	28	319	43	0
12417	304	8	319	23	0

#JUMP RUN RIGHT & LEFT 
12423	360	28	375	43	0
12427	360	8	375	23	0

############ TANOOKI ###############
#####  TAIL ###############
#IDLE
13121	79	142	100	169	0
13111	79	175	100	202	0

#WALKING RIGHT
13222	104	142	125	169	0
13223	128	142	151	169	0

#WALKING LEFT
13212	104	175	125	202	0
13213	128	175	151	202	0

#RUNNING RIGHT
13321	360	142	383	169	0
13322	387	142	410	169	0
13323	414	142	437	169	0

#RUNNING LEFT
13311	360	175	383	202	0
13312	387	175	410	202	0
13313	414	175	437	202	0

#JUMP WALK RIGHT & LEFT
13417	256	142	279	169	0
13413	256	175	279	202	0
		
#JUMP RUN RIGHT & LEFT
13427	441	142	464	169	0
13428	468	142	491	169	0
13429	495	142	518	169	0

13423	441	175	464	202	0
13424	468	175	491	202	0
13425	495	175	518	202	0

#SIT RIGHT & LEFT 
13521	522	152	543	169	0
13511	522	185	543	202	0

#BRACE RIGHT & LEFT 
13621	155	140	170	169	0
13611	155	173	170	202	0

#LANDING RIGHT & LEFT
13721	283	142	306	169	0
13722	309	142	332	169	0
13723	335	142	356	169	0

13711	283	175	306	202	0
13712	309	175	332	202	0
13713	335	175	356	202	0

#KICK RIGHT & LEFT
13821	641	142	662	169	0
13811	641	175	662	202	0

#CARRY RIGHT & LEFT
13921	565	142	586	169	0
13922	590	142	611	169	0
13923	614	142	637	169	0

13911	565	175	586	202	0
13912	590	175	611	202	0
13913	614	175	637	202	0

#HIT RIGHT & LEFT
13951	192	175	215	202	0
13952	219	142	234	169	0
13953	192	142	215	169	0
13954	174	142	189	169	0

#MAP
13990	4	146	19	169	0
13991	23	146	38	169	0



# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11321	50	11322	50	11323	50
601	11311	50	11312	50	11313	50

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

#DIE
999	13001	100

################### SMALL #################
1100	12121	100
1102	12111	100


#WALK LEFT & RIGHT 
1200	12121	100	12222	100	12223	100
1201	12111	100	12212	100	12213	100

#RUN LEFT & RIGHT
1300	12321	100	12322	100	12323	100
1301	12311	100	12312	100	12313	100

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100

################## TANOOKI #################
# IDLE RIGHT & LEFT
1700	13121	100
1701	13111	100

# WALK RIGHT & LEFT
1800	13121	100	13222	100	13223	100
1801	13111	100	13212	100	13213	100

# RUN RIGHT & LEFT
1900	13321	50	13322	50	13323	50
1901	13311	50	13312	50	13313	50

# JUMP WALK RIGHT & LEFT
2000	13417	100
2001	13413	100

# JUMP RUN RIGHT & LEFT
2100	13427	100	13428	100	13429	100
2101	13423	100	13424	100	13425	100

# SIT RIGHT & LEFT
2200	13521	100
2201	13511	100

# BRACE RIGHT & LEFT
2300	13621	100
2301	13611	100

# LANDING RIGHT & LEFT
2400	13721	100	13722	100	13723	100
2401	13711	100	13712	100	13713	100


#KICK RIGHT & LEFT
2500	13821	100
2501	13811	100

#CARRY RIGHT & LEFT
2600	13921	100	13922	100	13923	100
2601	13911	100	13912	100	13913	100

#IDLE CARRY RIGHT & LEFT
2700	13921	100
2701	13911	100

#HIT RIGHT & LEFT 
2800	13951	100	13952	100	13953	100	13954	100	13121	100
2801	13953	100	13952	100	13951	100	13954	100	13111	100

#MAP
2900	13990	200	13991	200
